condition,review,rating,usefulCount
Skin or Soft Tissue Infection,"""Overall, not too bad.  Had some mild nausea and diarrhea the first two or three days, but then drank Kefir which helped immensely.  Be sure to take as directed with some food (you don&#039;t need a whole meal) and eat yogurt etc.  I highly recommend Kefir during Augmentin therapy.  Began clearing the infection by the second day.  Remember, most people have little to no side effects with these medications, so what you tend to read on the Internet is negatively biased.""",8.0,43
Overactive Bladde,"""I get bad reaction to the adhesive. The redness stays for weeks and itches so bad. I clean the area with acetone to remove the adhesive residue and then clean it with alcohol. Hope you guys will create one for sensitive adhesive like sensitive bandage. The product helps with overactive bladder I just hope the itch and redness will go away. Been using this patch for a month.""",5.0,52
Insomnia,"""It works very good for sleep as I have chronic insomnia due to severe anxiety, major depression. I didn&#039;t take it yesterday and barely slept good. What I hate is the drowsy feeling it makes during day does it go away? This pill made my birthday a fine day I made a day outside feeling OK.""",8.0,46
Smoking Cessation,"""Started smoking at 13, up to 2 1/2 pack a day. Wife also smoked, up to 2 packs a day.  We both started Zyban at the same time.  Took meds and smoked for a week, stopped the smoking, then a week later, stopped the meds.  Haven&#039;t regretted doing it.  Although I don&#039;t feel a whole lot better, still huff and puff at the top of the stairs, gained about 25 pounds, but I know we are both better for having quit.  Recommend to anyone who really wants to quit.""",10.0,67
Generalized Anxiety Disorde,"""After being diagnosed with depression and generalized anxiety disorder, my doctor prescribed me Lexapro. I was very skeptical.  I finally took it after having a few days with me debating whether or not to take it. It made me feel a lot better. I&#039;m only a few days into it but I can feel a difference. I&#039;m a little dizzy and find myself yawning when I first take my dose of 10mg, but that usually goes away. I also had to use the restroom several times, but overall not a lot of side effects. I&#039;m surprised and pleased so far and I&#039;m sure I&#039;ll have to up my dose in a few months.""",9.0,77
Depression,"""Works great. I feel like myself again- positive, energetic, interest in activities has returned.""",8.0,79
Birth Control,"""I got the Implanon 3 years ago and have had no side effects from it. Got it taken out today and had the Nexplanon put in the same spot. I am a bit sore from it but it was a much easier procedure then I thought it would be!""",10.0,3
Depression,"""I have situational depression, never dealt with it before. Wellbutrin had definitely helped get me out of bed each day. The &quot;situation&quot; is becoming better as well but I find my emotions aren&#039;t as out of whack. I cry less &amp; get angry less. I do feel it made me more anxious which I&#039;m already dealing with &amp; taking Buspirone for. I didn&#039;t experience many side effects BUT one that is hard to deal with but because it seems to make me get through each day a little better, I deal with it. It makes my throat feel closed, which is very annoying. I feel often like I can&#039;t breathe well &amp; that I can&#039;t swallow or that something is stuck in my throat. I&#039;ve not taken any other pills on several days to determine that it was the Wellbutrin that did it &amp; it is.""",8.0,52
Allergic Rhinitis,"""I&#039;ve suffered for years with allergies both seasonal/environmental and chemical. I carried Benadryl and hydrocortisone in my purse for years.  I recently had issues with my ight hear with vibration and popping as well as hearing my inhalation through my nose in my ear.  I also had awful post nasal drip year round for as long as I could remember. I went to an ENT doc and he prescribed me Astelin.  I take one spray in each nostril in the morning and again at bedtime.  I&#039;ve been on it for about a month now and I have never felt better.  The hives have decreased, my swollen hands have gone down and my ear is like new! I highly recommend this antihistamine nasal spray. Inquire with your doctor about it!""",10.0,41
Skin or Soft Tissue Infection,"""I had recurring boils in one area. They would show up randomly so the dr. was never able to take a culture since they would come to a head and then pop whenever. He put me on a 20 day regimen of Keflex (500) and another ointment antibiotic that he told me to dab into my nose. He said for some odd reason, boils seem to start in the nose. I followed the instructions and had a minor recurrence several months later. I went immediately to see him so he put me back on Keflex. These boils were clustered and leaving scars in the area. They haven&#039;t recurred and the scars are gone. Since I caught them starting the 2nd time, they never had a chance to come to a head because I stayed on top of it. I highly recommend it for a skin bacterial infection.""",9.0,114
Depression,"""I was in a bad car accident 3 years ago and it tore up my already injured back. At first I relied on Cymbalta and narcotics to get through the pain. The narcotics lifted my mood and the Cymbalta did help with all other pain. Eventually the narcotic I was on (lortab) stopped working all together. I&#039;m not a big fan of opiates for pain relief and would not have taken them had it not been my only choice to feel normal. (I couldnt even sit in my car for more than 15 mins without searing nerve pain).I accidently stumbled on a review that said Wellbutrin also helped with back pain. It has been the best thing that&#039;s happened to me. It has replaced both meds and I feel great! Cymbalta was horrible to come off of, Lortab not so much but think I was just lucky.""",10.0,88
